"acef:AcceptedTaxonID","acef:ParentSpeciesID","acef:InfraSpeciesEpithet","acef:InfraSpeciesAuthorString","acef:InfraSpeciesMarker","acef:GSDNameStatus","acef:Sp2000NameStatus","acef:IsExtinct","acef:HasPreHolocene","acef:HasModern","acef:LifeZone","acef:AdditionalData","acef:LTSSpecialist","acef:LTSDate","acef:InfraSpeciesURL","acef:GSDTaxonGUID","acef:GSDNameGUID"
15635,1789,"dominicana","Fennah, 1952",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=22633&page=explorer&db=flow",,
15647,15646,"uliginosa","Fennah, 1945",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=22659&page=explorer&db=flow",,
15660,2847,"unicornis","Fennah, 1952",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=22675&page=explorer&db=flow",,
15662,15661,"trinitatis","Fennah, 1952",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=22677&page=explorer&db=flow",,
15739,9022,"cognata","Melichar, 1898",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=22780&page=explorer&db=flow",,
16135,15961,"marusiki","Anufriev, 1991",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=23277&page=explorer&db=flow",,
16179,16178,"kerzhneri","Anufriev, 1987",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=23334&page=explorer&db=flow",,
16180,16178,"amurensis","Anufriev, 1987",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=23335&page=explorer&db=flow",,
16184,8537,"perpusilla","(Walker, 1851)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=23339&page=explorer&db=flow",,
16185,8537,"pusana","Distant, 1914",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=23340&page=explorer&db=flow",,
